Date,N,TSLA
2020-01-03,,0.02920261371286159
2020-01-06,,0.01907163410857393
2020-01-07,,0.03806670665696377
2020-01-08,,0.04803258882467354
2020-01-09,,-0.022189385476863777
2020-01-10,,-0.006649395571153072
2020-01-13,,0.09320709945133743
2020-01-14,,0.024578285290333568
2020-01-15,,-0.03676984857543175
2020-01-16,,-0.009709462276707548
2020-01-17,,-0.00583991330438316
2020-01-21,,0.06942376595673672
2020-01-22,,0.04004976680028971
2020-01-23,,0.004624446532712767
2020-01-24,,-0.012981533188175298
2020-01-27,,-0.01211229808875558
2020-01-28,,0.0157881264331019
2020-01-29,,0.024550631085550556
2020-01-30,,0.09799949293612809
2020-01-31,,0.015115868370499719
2020-02-03,,0.18144503018577396
2020-02-04,,0.12861871853044615
2020-02-05,,-0.18845036897286427
2020-02-06,,0.019223358021399406
2020-02-07,,-0.0011890813857684535
2020-02-10,,0.030554905112854414
2020-02-11,,0.0040113039073670365
2020-02-12,,-0.009197977033790217
2020-02-13,,0.046734510294277776
2020-02-14,,-0.004950081791332828
2020-02-18,,0.07042094228822293
2020-02-19,,0.0664951987517739
2020-02-20,,-0.01982633357095498
2020-02-21,,0.0017662268376765766
2020-02-24,,-0.07752369493467626
2020-02-25,,-0.041482357972054906
2020-02-26,,-0.026744949535016715
2020-02-27,,-0.13713308820005743
2020-02-28,,-0.016347892757324622
2020-03-02,,0.10725688782624676
2020-03-03,,0.002538436397835575
2020-03-04,,0.005337695327504832
2020-03-05,,-0.0338692732451662
2020-03-06,,-0.02949756278539528
2020-03-09,,-0.1458645713770199
2020-03-10,,0.059586899995507814
2020-03-11,,-0.017350099445250677
2020-03-12,,-0.12349321992425466
2020-03-13,,-0.02516461028135719
2020-03-16,,-0.20552226728199763
2020-03-17,,-0.033981345006121266
2020-03-18,,-0.17476299085707048
2020-03-19,,0.16879448210076653
2020-03-20,,-0.00025729591062795265
2020-03-23,,0.01568811058551134
2020-03-24,,0.15084589588243347
2020-03-25,,0.0656208418457469
2020-03-26,,-0.020779967192045667
2020-03-27,,-0.026475878507408623
2020-03-30,,-0.02406435019366082
2020-03-31,,0.04263263821287655
2020-04-01,,-0.08446091612999318
2020-04-02,,-0.057898923361450194
2020-04-03,,0.05467505162498032
2020-04-06,,0.0727648586938967
2020-04-07,,0.055039324205847784
2020-04-08,,0.0061958310054262
2020-04-09,,0.043078763920338936
2020-04-13,,0.1275471496961309
2020-04-14,,0.08667715300465773
2020-04-15,,0.027701647625610448
2020-04-16,,0.020854454088410357
2020-04-17,,0.011580360146687951
2020-04-20,,-0.010038389170317963
2020-04-21,,-0.08328148145085468
2020-04-22,,0.06400415854670527
2020-04-23,,-0.0368396849228958
2020-04-24,,0.027287450625308907
2020-04-27,,0.09666948410238607
2020-04-28,,-0.03780096821609913
2020-04-29,,0.040002018336065426
2020-04-30,,-0.023547734450900748
2020-05-01,,-0.10873699380092283
2020-05-04,,0.08191871392323513
2020-05-05,,0.009180080664171086
2020-05-06,,0.01853307279883243
2020-05-07,,-0.0032510226947133347
2020-05-08,,0.04925161705385239
2020-05-11,,-0.009971242960522098
2020-05-12,,-0.002319935772398196
2020-05-13,,-0.02305820449521523
2020-05-14,,0.015518184632590248
2020-05-15,,-0.005191903908659867
2020-05-18,,0.017932017657138033
2020-05-19,,-0.006931238805637285
2020-05-20,,0.009300525202680099
2020-05-21,,0.01465498082850214
2020-05-22,,-0.013037723100364218
2020-05-26,,0.0024331051830870365
2020-05-27,,0.001659466964626155
2020-05-28,,-0.01773682211733707
2020-05-29,,0.03558372623710149
2020-06-01,,0.07284966864192288
2020-06-02,,-0.01858834825255329
2020-06-03,,0.0015868272654113724
2020-06-04,,-0.021267344622291517
2020-06-05,,0.02432062325722928
2020-06-08,,0.07004458532772961
2020-06-09,,-0.009785334869174989
2020-06-10,,0.0859042424768397
2020-06-11,,-0.05227705042227804
2020-06-12,,-0.039373645260301515
2020-06-15,,0.05776763571405752
2020-06-16,,-0.0088899277239598
2020-06-17,,0.009787743558413275
2020-06-18,,0.01219609596325455
2020-06-19,,-0.003052658268346775
2020-06-22,,-0.006595759179448102
2020-06-23,,0.007474632215330956
2020-06-24,,-0.041715410822561694
2020-06-25,,0.02581776623791132
2020-06-26,,-0.026973661816744432
2020-06-29,,0.050399409843234544
2020-06-30,,0.06747859060205741
2020-07-01,,0.036213124954005416
2020-07-02,,0.07651403502187115
2020-07-06,,0.12645110898925704
2020-07-07,,0.01323957349189886
2020-07-08,,-0.017404077400271944
2020-07-09,,0.020579217558519325
2020-07-10,,0.10241921541137344
2020-07-13,,-0.03129418136729534
2020-07-14,,0.013099661837502552
2020-07-15,,0.019074600795392804
2020-07-16,,-0.029785752159503964
2020-07-17,,0.00013329605943823708
2020-07-20,,0.09049890870279409
2020-07-21,,-0.046493379556626024
2020-07-22,,0.015167885033283035
2020-07-23,,-0.051057618493551615
2020-07-24,,-0.06559880544074748
2020-07-27,,0.0829807468635293
2020-07-28,,-0.04185502257494278
2020-07-29,,0.015203905094020698
2020-07-30,,-0.007781480425908427
2020-07-31,,-0.0388842883494771
2020-08-03,,0.0372089724756508
2020-08-04,,0.0013458747004371219
2020-08-05,,-0.0013324141757635743
2020-08-06,,0.0030659182588061995
2020-08-07,,-0.025063400320798124
2020-08-10,,-0.023781466628163273
2020-08-11,,-0.031639321520778196
2020-08-12,,0.12331121696764136
2020-08-13,,0.04172210087027395
2020-08-14,,0.01816221280616137
2020-08-17,,0.10618767605850454
2020-08-18,,0.027642788791035322
2020-08-19,,-0.00454641886395013
