,GS
1,-0.007084909364953873
2,0.003527145194272663
3,-0.002807175084594604
4,0.004890473485641422
5,0.006633214116906316
6,-0.002859262487506342
7,0.006951994045934384
8,-0.0015156808368956831
9,0.0018684502436876471
10,0.008331747422232638
11,0.0038547232474837045
12,-0.002655500369584729
13,0.0002890342966814785
14,0.001140326193358021
15,-0.00908328942619363
16,-0.015855752356843666
17,0.01000338350035257
18,-0.0008672501435853519
19,0.0031294569302104946
20,-0.017864443571362187
21,0.00722842576123206
22,0.014869315917506398
23,0.011187778658973357
24,0.0033201550570023386
25,-0.005415491009459927
26,0.007299690120573743
27,0.001687048686003223
28,0.006441853105203066
29,-0.0016317763599893453
30,0.0018418360984853166
31,-0.002924213986148061
32,0.004694748284284955
33,-0.0038228174279968385
34,-0.010573809232820253
35,-0.034088079420440565
36,-0.03074790437535313
37,-0.0037856973235292912
38,-0.045168136352262245
39,-0.008272463109652683
40,0.04501086876941329
41,-0.02851048492291497
42,0.04133634936063402
43,-0.03451078243998218
44,-0.017200943652385448
45,-0.07901041294037192
46,0.048215052425859106
47,-0.05010289280860558
48,-0.09994485240247286
49,0.08880840694923542
50,-0.12765219747281709
51,0.05822631263569189
52,-0.05322227233208032
53,0.004696760970401392
54,-0.04432762405336721
55,-0.02973150100957689
56,0.08968323251796306
57,0.0114689904208225
58,0.06054383107424677
59,-0.03426784554162676
60,0.032966590569975196
61,-0.01614231078841577
62,-0.04514636273278683
63,0.02257265705696021
64,-0.015252860825945014
65,0.06796824414483105
66,-0.0016043390483631015
67,0.033489371191285144
68,0.014383470303699575
69,-0.010156059444677012
70,0.03011455957230691
71,-0.022276732672368738
72,0.005799837839541411
73,0.026440932021320585
74,-0.018042845615347858
75,-0.031155115236330744
76,0.022671300582136844
77,-0.0005395676601960275
78,0.013822090566839584
79,0.014606868181735955
80,-0.005256170190484077
81,0.026236704045073722
82,-0.00925514331905486
83,-0.02846021101477625
84,0.004240822578849723
85,0.008999935197779863
86,-0.00700388039904265
87,0.0114389557548904
88,0.016730795065226012
89,0.00013306936679136072
90,-0.020713365772047965
91,-0.01761699662428029
92,0.011458917804072044
