,TSLA
1,0.04607500335507542
2,0.005833829116195233
3,-0.011074513468519065
4,-0.022548200500403404
5,0.022015499815695172
6,0.006961708841249248
7,-0.006440854103183291
8,0.0019508106767860411
9,0.039554979462125495
10,0.002596579526098708
11,-0.021669245307925245
12,-0.03381135217546216
13,-0.05145517023731827
14,0.05668428951431537
15,0.03851927903032859
16,-0.020956118951172442
17,-0.005514259728138349
18,0.0026318473122044495
19,0.013044806761939753
20,-0.0163003479457986
21,-0.053982220316743046
22,0.008462841143623834
23,0.005479896817193186
24,-0.024685904220053345
25,0.002421087526265353
26,-0.01358559596120923
27,-0.0077518009588937176
28,-0.08937618600877606
29,-0.02216114133504199
30,0.059954367268869824
31,-0.08402407977651905
32,-0.00989898612697715
33,0.06161510798655634
34,-0.04554944029608787
35,-0.04963544530636721
36,-0.04984401019282192
37,-0.03853221076191371
38,-0.0602275306899287
39,0.17932716850789365
40,-0.008228810439735668
41,0.04613072203942448
42,-0.008425900584981605
43,0.02027654012619795
44,-0.04486533595853892
45,0.03616869681272927
46,-0.07184062752478937
47,0.0026146540803351215
48,0.022840977186786127
49,-0.011770534365243002
50,-0.04935884802742052
51,0.015929058642061733
52,-0.03444068779216991
53,-0.01206525846617268
54,0.03902945044049666
55,0.04958247384447212
56,-0.009295525553825179
57,0.04332432127835606
58,0.0008245023954449593
59,-0.03031228186126178
60,0.018941076433693915
61,-0.009964615931187026
62,0.03620404234612895
63,0.0824615388793477
64,-0.04027177906268964
65,0.009000244721271144
66,0.0012579939951447017
67,-0.034587951232578185
68,0.006082502767182696
69,0.034354869751861195
70,-0.03338173845673431
71,0.013401744714820474
72,0.011992495286097693
73,-0.04638588052449499
74,-0.014780728102974372
75,-0.02537692559236504
76,0.046804656956986435
77,-0.035203052019231684
78,-0.016636451166068156
79,-0.003956708849536028
80,-0.011090612633393171
81,0.01321967177617811
82,-0.0666139642244099
83,-0.019001672485714494
84,-0.04525703659502156
85,-0.031339212976059905
86,0.03108485455138421
87,-0.022134119906303873
88,0.0018012960899769226
89,-0.02525253639053826
90,0.04055362741275026
91,-0.010105808975394481
92,0.04306159576130142
93,-0.002889865185149887
94,0.02359934062191904
95,0.018752802997534346
96,-0.008964536733055084
97,-0.0021134026923181892
98,-0.030563360847182253
99,-0.05482028490915436
100,0.04473855421681705
101,0.010098272341790171
102,-0.002548115064116452
103,-0.00800090320457958
104,0.01876135034701054
105,-0.00037701407305412715
106,0.01270808037909088
107,-0.030124322619141886
108,0.009151156020530848
109,0.01920692502127519
110,0.01082350755056627
111,-0.00398666343687637
112,0.004628232010785993
113,0.051343773279319826
114,0.03479874275958217
115,-0.01176320586039914
116,0.0247698976511721
117,-0.011624924339891152
118,-0.0015582931596247462
119,-0.00262228064301695
120,0.0014446155997909216
121,-0.02887058253978836
122,-0.02289572300036191
123,0.012578546691521808
124,0.006321812249023395
125,0.04283230142340955
126,-0.025344034754805733
127,-0.022937300287662943
128,-0.004263920536348387
129,-0.009854739316201844
130,0.003099720548324747
131,0.021857166216463497
132,-0.007919271750735923
133,-0.009244584358869545
134,-0.009097730803351745
135,0.02189171243039123
136,-0.019718030701162625
137,0.003406133155047897
138,0.04587273804954872
139,0.014437298450230784
140,0.0321746607403286
141,9.86428524534233e-05
142,0.0016611898264766722
143,0.005205051216144341
144,-0.02197117447307484
145,0.02075302646609245
146,-0.005295913387363349
147,-0.003061037245157827
148,0.020181504916966908
149,-0.007058451656104303
150,-0.044187502160085046
151,-0.030271212248392132
152,0.03437256966464375
153,-0.02278333501930252
154,0.010031684461689672
155,0.03756496674301335
156,0.0030958717895623877
157,0.0038177704423167924
158,-0.014217633310826372
159,0.015229453490459122
160,0.026324774869131318
161,0.006559275329458991
162,-0.0022178982569371897
163,-0.002318494518084968
164,0.0016098569032410026
165,0.02603592188776105
166,0.0012609751150005621
167,0.0013123493127018548
168,-0.02493535637554789
169,0.009099118907714754
170,0.0020033623654498456
171,0.015117098695616171
172,0.001533524631140537
173,0.003297112124100998
174,-0.039369782196168046
175,0.012534643444116256
176,0.01684453299742117
177,0.0022582830672801535
178,0.027160821725232154
179,0.021677324250642727
180,-0.01759215746850895
181,0.004811186622800001
182,-0.007489827691889772
183,-0.00033534503933552173
184,0.008106752081579849
185,-0.0012034959171831616
186,0.0027632817964615697
187,0.013778778033230132
188,-0.010284423802381149
189,0.008177920014371232
