Date,GS,JPM,^GSPC
2020-01-03,-0.011762339685894574,-0.01968356196859311,-0.007084909364953873
2020-01-06,0.010182010176819745,-0.0007954631327162787,0.003527145194272663
2020-01-07,0.006561068768680123,-0.0171467543407946,-0.002807175084594604
2020-01-08,0.009593265389157501,0.007770712294085769,0.004890473485641422
2020-01-09,0.020152283243136004,0.0036445844781693992,0.006633214116906316
2020-01-10,-0.002021850811002146,-0.010017962969767424,-0.002859262487506342
2020-01-13,0.012722842787070476,0.008270180019041007,0.006951994045934384
2020-01-14,0.0018334673733955142,0.011594377010779588,-0.0015156808368956831
2020-01-15,-0.0018334673733955142,-0.01509902232360627,0.0018684502436876471
2020-01-16,0.0182252814370516,0.0038690326538146635,0.008331747422232638
2020-01-17,-0.0010416864706659368,0.006897808861745958,0.0038547232474837045
2020-01-21,-0.01518734150469836,-0.009889555903962233,-0.002655500369584729
2020-01-22,0.005479490538086829,-0.0011699596869503281,0.0002890342966814785
2020-01-23,-0.0059679904561456,-0.0010248108417707513,0.001140326193358021
2020-01-24,-0.015015681766083588,-0.025141296398158097,-0.00908328942619363
2020-01-27,-0.015748351962289853,-0.008447106175084151,-0.015855752356843666
2020-01-28,0.01847282696895114,0.018014402737185797,0.01000338350035257
2020-01-29,-0.010192782380228138,-0.0014888483125057306,-0.0008672501435853519
2020-01-30,0.016562112250020355,0.012291015770753866,0.0031294569302104946
2020-01-31,-0.026481188873278327,-0.026320242776183278,-0.017864443571362187
2020-02-03,0.005285667651896198,0.007601696358565668,0.00722842576123206
2020-02-04,0.012184402545264206,0.014293388966245324,0.014869315917506398
2020-02-05,0.009707219132880418,0.0168576488341019,0.011187778658973357
2020-02-06,-0.010203312721545288,0.00014537988893881248,0.0033201550570023386
2020-02-07,-0.015923004362520032,-0.0032025825710455535,-0.005415491009459927
2020-02-10,-0.0026926951174912617,0.004146870855708862,0.007299690120573743
2020-02-11,-0.003798889725770138,0.001885795159979331,0.001687048686003223
2020-02-12,0.009218929048516067,0.0,0.006441853105203066
2020-02-13,-0.0012578106185294757,-0.0008699080950478333,-0.0016317763599893453
2020-02-14,-0.005342562615200386,-0.0030507625263656024,0.0018418360984853166
2020-02-18,-0.016458280650465618,-0.013328701778144492,-0.002924213986148061
2020-02-19,0.017512221424106578,0.01354691438468425,0.004694748284284955
2020-02-20,-0.019572620418082387,0.0,-0.0038228174279968385
2020-02-21,-0.00910765182813389,-0.01229439500298568,-0.010573809232820253
2020-02-24,-0.02671747804033142,-0.02724349465701259,-0.034088079420440565
2020-02-25,-0.03134936251709597,-0.04567004762355609,-0.03074790437535313
