,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,,,
2022-02-02,174.82533264160156,310.55010986328125,175.83999633789062,313.4599914550781,175.8800048828125,315.1199951171875,173.3300018310547,308.8800048828125,174.75,309.6300048828125,84914300,36636000
2022-02-03,171.90231323242188,298.45343017578125,172.89999389648438,301.25,176.24000549316406,311.2300109863281,172.1199951171875,299.9599914550781,174.47999572753906,309.489990234375,89418100,43730000
2022-02-04,171.61363220214844,303.09991455078125,172.38999938964844,305.94000244140625,174.10000610351562,308.79998779296875,170.67999267578125,299.9700012207031,171.67999267578125,300.2099914550781,82465400,35096500
2022-02-07,170.8869171142578,298.15625,171.66000366210938,300.95001220703125,173.9499969482422,307.8399963378906,170.9499969482422,299.8999938964844,172.86000061035156,306.1700134277344,77251200,28533300
2022-02-08,174.04263305664062,301.7326965332031,174.8300018310547,304.55999755859375,175.35000610351562,305.55999755859375,171.42999267578125,299.95001220703125,171.72999572753906,301.25,74829200,32421200
2022-02-09,175.48609924316406,308.32098388671875,176.27999877929688,311.2099914550781,176.64999389648438,311.92999267578125,174.89999389648438,307.3900146484375,176.0500030517578,309.8699951171875,71285000,31284700
2022-02-10,171.34483337402344,299.5729675292969,172.1199951171875,302.3800048828125,175.47999572753906,309.1199951171875,171.5500030517578,300.70001220703125,174.13999938964844,304.0400085449219,90865900,45386200
2022-02-11,167.88050842285156,292.3011169433594,168.63999938964844,295.0400085449219,173.0800018310547,304.2900085449219,168.0399932861328,294.2200012207031,172.3300018310547,303.19000244140625,98670700,39175600
2022-02-14,168.1194305419922,292.2615051269531,168.8800048828125,295.0,169.5800018310547,296.760009765625,166.55999755859375,291.3500061035156,167.3699951171875,293.7699890136719,86185500,36359500
2022-02-15,172.01182556152344,297.6806945800781,172.7899932861328,300.4700012207031,172.9499969482422,300.79998779296875,170.25,297.0199890136719,170.97000122070312,300.010009765625,62527400,27058300
2022-02-16,171.77291870117188,297.3332214355469,172.5500030517578,299.5,173.33999633789062,300.8699951171875,170.0500030517578,293.67999267578125,171.85000610351562,298.3699951171875,61177400,29982100
2022-02-17,168.1194305419922,288.6266784667969,168.8800048828125,290.7300109863281,171.91000366210938,296.79998779296875,168.47000122070312,290.0,171.02999877929688,296.3599853515625,69589300,32461600
2022-02-18,166.5465545654297,285.846923828125,167.3000030517578,287.92999267578125,170.5399932861328,293.8599853515625,166.19000244140625,286.30999755859375,169.82000732421875,293.04998779296875,82772700,34264000
2022-02-22,163.57998657226562,285.6384582519531,164.32000732421875,287.7200012207031,166.69000244140625,291.5400085449219,162.14999389648438,284.5,164.97999572753906,285.0,91162800,41736100
2022-02-23,159.34912109375,278.2423400878906,160.07000732421875,280.2699890136719,166.14999389648438,291.70001220703125,159.75,280.1000061035156,165.5399932861328,290.17999267578125,90009200,37811200
2022-02-24,162.00709533691406,292.458740234375,162.74000549316406,294.5899963378906,162.85000610351562,295.1600036621094,152.0,271.5199890136719,152.5800018310547,272.510009765625,141147500,56989700
2022-02-25,164.1075897216797,295.1590576171875,164.85000610351562,297.30999755859375,165.1199951171875,297.6300048828125,160.8699951171875,291.6499938964844,163.83999633789062,295.1400146484375,91974200,32546700
2022-02-28,164.37635803222656,296.62835693359375,165.1199951171875,298.7900085449219,165.4199981689453,299.1400146484375,162.42999267578125,293.0,163.05999755859375,294.30999755859375,95056600,34627500
2022-03-01,162.4650115966797,292.8161315917969,163.1999969482422,294.95001220703125,166.60000610351562,299.9700012207031,161.97000122070312,292.1499938964844,164.6999969482422,296.3999938964844,83474400,31217800
2022-03-02,165.8098907470703,298.0182189941406,166.55999755859375,300.19000244140625,167.36000061035156,301.4700012207031,162.9499969482422,293.70001220703125,164.38999938964844,295.3599853515625,79724800,31873000
2022-03-03,165.4813690185547,293.7791442871094,166.22999572753906,295.9200134277344,168.91000366210938,303.1300048828125,165.5500030517578,294.04998779296875,168.47000122070312,302.8900146484375,76678400,27314500
2022-03-04,162.4351348876953,287.762939453125,163.1699981689453,289.8599853515625,165.5500030517578,295.6600036621094,162.10000610351562,287.1700134277344,164.49000549316406,294.2900085449219,83737200,32356500
