,,0
V,WBA,0.46101905568119583
MMM,MSFT,0.4609971320019211
GS,MCD,0.46068758560494844
DOW,HD,0.4601727574123445
KO,MSFT,0.45927501351439215
MSFT,UNH,0.4586188157847087
BA,CRM,0.4584185143398825
GS,IBM,0.4582549864766666
BA,DOW,0.45757233724835994
KO,NKE,0.4571304130568289
AAPL,CAT,0.45665811821014685
TRV,UNH,0.4529654254088536
IBM,MSFT,0.452758858658603
AXP,TRV,0.4521778037103309
DIS,MMM,0.4515061339472451
INTC,PG,0.44806129082142054
JPM,PG,0.4444702110536505
KO,WMT,0.4439958937416817
CAT,MSFT,0.4425470174414549
MMM,PG,0.4415655313769768
MCD,MRK,0.4397022484332278
UNH,VZ,0.4391008558404819
CAT,INTC,0.43805696708895897
MCD,TRV,0.43720805838758925
MCD,NKE,0.43719664464915753
CSCO,DOW,0.4367753502142569
CSCO,MMM,0.43657425587719967
MSFT,PG,0.4363819392835351
INTC,MCD,0.4361672228477971
CSCO,WBA,0.4352184025348416
CAT,IBM,0.4339190984678876
HON,PG,0.43333482510096394
IBM,NKE,0.43263898655909244
AMGN,MRK,0.43263466131302813
AXP,IBM,0.43261126286065416
CSCO,JNJ,0.4316922063403541
CSCO,UNH,0.42821406722442074
HD,WMT,0.42783350168899836
AMGN,KO,0.4270552035483434
PG,WMT,0.4256319746435799
NKE,PG,0.42128626494631916
KO,MRK,0.4212290324390294
HON,UNH,0.4202897287637348
UNH,V,0.42001762781683405
GS,UNH,0.41507110709799333
JNJ,WBA,0.4148413062042321
UNH,WBA,0.41366839598901806
GS,KO,0.413296073299726
AMGN,MMM,0.41202703406983326
AXP,PG,0.41188221135857034
HD,MCD,0.4117650718200533
BA,HD,0.4098888089028499
CAT,CSCO,0.40959042648294447
HD,JNJ,0.40760699822449575
IBM,UNH,0.40604828564783374
BA,WBA,0.40392835490859447
AXP,UNH,0.40377016725443715
INTC,KO,0.4020569152709531
MRK,TRV,0.40024455744649484
KO,VZ,0.4001192582599136
WBA,WMT,0.39999964894520745
AMGN,HON,0.399483771893631
AMGN,MCD,0.39863487957776167
CRM,MMM,0.39847758172929776
CAT,HD,0.3963654362948914
CRM,DOW,0.39605231903050997
AMGN,UNH,0.39479826303343285
PG,TRV,0.39342041488008134
IBM,TRV,0.3933879136111381
PG,VZ,0.3921793122455583
BA,CSCO,0.39204564944306886
INTC,UNH,0.39144970780261834
IBM,VZ,0.3914210287049663
AMGN,WBA,0.39021664650029203
MMM,TRV,0.39019824746408
DIS,MCD,0.38957104665580633
TRV,V,0.387184717461751
DIS,KO,0.38664549734584974
CAT,MCD,0.3850163428554766
BA,MCD,0.3844565925605847
JNJ,MMM,0.3843442690999861
AMGN,PG,0.38366132355460536
JNJ,TRV,0.38363719719650347
JNJ,VZ,0.3828468690261265
HD,UNH,0.38212927448535666
HON,JNJ,0.3814768894266409
AMGN,IBM,0.37446313901624995
IBM,MRK,0.37259607245483006
JPM,VZ,0.3723009557942781
CVX,TRV,0.37207241267683333
CAT,CRM,0.36875576566541146
CSCO,WMT,0.36805902952530994
DOW,KO,0.3673209644726477
JNJ,JPM,0.36612849162670275
AMGN,TRV,0.3657863228571873
CRM,WBA,0.36519226053922244
MRK,VZ,0.3648482872100388
AAPL,JNJ,0.363724811415647
BA,MMM,0.3617490937749119
CVX,GS,0.3609406778047071
AAPL,TRV,0.3554198278573208
GS,PG,0.3538405473897672
AMGN,HD,0.3528149543654308
MCD,WMT,0.35211045258739726
JNJ,WMT,0.3514986194380698
NKE,WMT,0.3509615046405865
TRV,WBA,0.34724970495624063
AAPL,WMT,0.34697013445649844
